year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,1,26.0,32241.0,14.43536868,15.5140388,True,streamingmedia
2001,4,15.0,18372.0,10.2059271075,11.395667535,True,streamingmedia
2003,2,4.5,6325.5,12.28861117,13.96641459,True,streamingmedia
2004,2,5.5,5990.5,13.569721625,7.05889343,True,streamingmedia
2005,3,3.6666666666666665,4288.333333333333,9.14147851,10.201268006666666,True,streamingmedia
2006,9,2.4444444444444446,4601.333333333333,7.103215448888889,6.912588536666666,True,streamingmedia
2007,15,2.466666666666667,8132.6,11.4083932,8.401790106666665,True,streamingmedia
2008,25,3.28,9770.92,12.295520892000003,10.071964412000002,True,streamingmedia
2009,30,3.9,11296.2,12.92647741,9.565694646666666,True,streamingmedia
2010,51,5.666666666666667,16135.098039215687,11.904024819607843,8.68591737254902,True,streamingmedia
2011,59,3.5084745762711864,9168.372881355932,12.209133130508476,8.669341727118644,True,streamingmedia
2012,81,2.6296296296296298,8445.777777777777,12.449643987654323,8.569294028395062,True,streamingmedia
2013,82,2.8902439024390243,8542.012195121952,12.816849548780489,9.05206136097561,True,streamingmedia
2014,81,3.246913580246914,9977.530864197532,12.647683580246913,10.087724028395062,True,streamingmedia
2015,97,2.618556701030928,9569.329896907217,13.000458969072165,9.981285110309278,True,streamingmedia
2016,84,2.119047619047619,9870.309523809523,12.458865214285714,9.518909967857143,True,streamingmedia
2017,73,3.1232876712328768,10755.09589041096,12.434835949315067,10.555105675342466,True,streamingmedia
2018,55,3.690909090909091,13912.09090909091,12.67024444727273,12.577206578181817,True,streamingmedia
2019,63,3.761904761904762,14528.031746031746,12.529754553968253,11.52558373968254,True,streamingmedia
