year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,7,2.4285714285714284,7523.571428571428,12.567721875714286,8.12134515,False,business;education;searchenginesandportals - business;informationtech;searchenginesandportals - business;searchenginesandportals - business;searchenginesandportals;shopping - education;informationtech;searchenginesandportals - education;searchenginesandportals - entertainment;newsandmedia;searchenginesandportals - entertainment;searchenginesandportals - illegalcontent;mediasharing;searchenginesandportals - informationtech;searchenginesandportals - messageboardsandforums;searchenginesandportals - newsandmedia;searchenginesandportals - searchenginesandportals - searchenginesandportals;shopping - 
2000,18,2.611111111111111,4080.722222222222,12.790143207777778,3.317953307222222,False,business;education;searchenginesandportals - business;informationtech;searchenginesandportals - business;searchenginesandportals - business;searchenginesandportals;shopping - education;informationtech;searchenginesandportals - education;searchenginesandportals - entertainment;newsandmedia;searchenginesandportals - entertainment;searchenginesandportals - illegalcontent;mediasharing;searchenginesandportals - informationtech;searchenginesandportals - messageboardsandforums;searchenginesandportals - newsandmedia;searchenginesandportals - searchenginesandportals - searchenginesandportals;shopping - 
2001,21,3.9523809523809526,6270.190476190476,12.939549152857145,4.357290731904762,False,business;education;searchenginesandportals - business;informationtech;searchenginesandportals - business;searchenginesandportals - business;searchenginesandportals;shopping - education;informationtech;searchenginesandportals - education;searchenginesandportals - entertainment;newsandmedia;searchenginesandportals - entertainment;searchenginesandportals - illegalcontent;mediasharing;searchenginesandportals - informationtech;searchenginesandportals - messageboardsandforums;searchenginesandportals - newsandmedia;searchenginesandportals - searchenginesandportals - searchenginesandportals;shopping - 
2002,17,2.823529411764706,5546.823529411765,11.200826357058824,3.527366476470588,False,business;education;searchenginesandportals - business;informationtech;searchenginesandportals - business;searchenginesandportals - business;searchenginesandportals;shopping - education;informationtech;searchenginesandportals - education;searchenginesandportals - entertainment;newsandmedia;searchenginesandportals - entertainment;searchenginesandportals - illegalcontent;mediasharing;searchenginesandportals - informationtech;searchenginesandportals - messageboardsandforums;searchenginesandportals - newsandmedia;searchenginesandportals - searchenginesandportals - searchenginesandportals;shopping - 
2003,26,3.423076923076923,7593.2307692307695,13.550718908846154,7.547209864615384,False,business;education;searchenginesandportals - business;informationtech;searchenginesandportals - business;searchenginesandportals - business;searchenginesandportals;shopping - education;informationtech;searchenginesandportals - education;searchenginesandportals - entertainment;newsandmedia;searchenginesandportals - entertainment;searchenginesandportals - illegalcontent;mediasharing;searchenginesandportals - informationtech;searchenginesandportals - messageboardsandforums;searchenginesandportals - newsandmedia;searchenginesandportals - searchenginesandportals - searchenginesandportals;shopping - 
2004,31,5.32258064516129,8098.032258064516,12.97116467451613,9.19445122064516,False,business;education;searchenginesandportals - business;informationtech;searchenginesandportals - business;searchenginesandportals - business;searchenginesandportals;shopping - education;informationtech;searchenginesandportals - education;searchenginesandportals - entertainment;newsandmedia;searchenginesandportals - entertainment;searchenginesandportals - illegalcontent;mediasharing;searchenginesandportals - informationtech;searchenginesandportals - messageboardsandforums;searchenginesandportals - newsandmedia;searchenginesandportals - searchenginesandportals - searchenginesandportals;shopping - 
2005,31,6.096774193548387,8686.064516129032,11.904961371290321,11.541320477741936,False,business;education;searchenginesandportals - business;informationtech;searchenginesandportals - business;searchenginesandportals - business;searchenginesandportals;shopping - education;informationtech;searchenginesandportals - education;searchenginesandportals - entertainment;newsandmedia;searchenginesandportals - entertainment;searchenginesandportals - illegalcontent;mediasharing;searchenginesandportals - informationtech;searchenginesandportals - messageboardsandforums;searchenginesandportals - newsandmedia;searchenginesandportals - searchenginesandportals - searchenginesandportals;shopping - 
2006,37,7.54054054054054,11375.27027027027,12.528806747567568,13.196732275675675,False,business;education;searchenginesandportals - business;informationtech;searchenginesandportals - business;searchenginesandportals - business;searchenginesandportals;shopping - education;informationtech;searchenginesandportals - education;searchenginesandportals - entertainment;newsandmedia;searchenginesandportals - entertainment;searchenginesandportals - illegalcontent;mediasharing;searchenginesandportals - informationtech;searchenginesandportals - messageboardsandforums;searchenginesandportals - newsandmedia;searchenginesandportals - searchenginesandportals - searchenginesandportals;shopping - 
2007,32,5.96875,10152.40625,12.326360838749999,12.799625911562499,False,business;education;searchenginesandportals - business;informationtech;searchenginesandportals - business;searchenginesandportals - business;searchenginesandportals;shopping - education;informationtech;searchenginesandportals - education;searchenginesandportals - entertainment;newsandmedia;searchenginesandportals - entertainment;searchenginesandportals - illegalcontent;mediasharing;searchenginesandportals - informationtech;searchenginesandportals - messageboardsandforums;searchenginesandportals - newsandmedia;searchenginesandportals - searchenginesandportals - searchenginesandportals;shopping - 
2008,37,5.0,9868.027027027027,13.578726752162165,11.897263658378376,False,business;education;searchenginesandportals - business;informationtech;searchenginesandportals - business;searchenginesandportals - business;searchenginesandportals;shopping - education;informationtech;searchenginesandportals - education;searchenginesandportals - entertainment;newsandmedia;searchenginesandportals - entertainment;searchenginesandportals - illegalcontent;mediasharing;searchenginesandportals - informationtech;searchenginesandportals - messageboardsandforums;searchenginesandportals - newsandmedia;searchenginesandportals - searchenginesandportals - searchenginesandportals;shopping - 
