year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2010,138,1.4057971014492754,6016.195652173913,11.724154377971013,8.360074400942029,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2011,173,1.4855491329479769,5901.838150289017,11.797607723236995,7.921930665028901,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2012,218,1.871559633027523,6450.077981651376,12.033495298027521,8.644680719816515,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2013,249,2.3373493975903616,6729.638554216867,11.989103532610441,8.739360585341364,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2014,266,2.691729323308271,6936.721804511279,12.131398180864661,9.247165694661655,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2015,289,2.8339100346020762,7216.249134948097,12.345518902491351,9.270082705743944,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2016,276,2.960144927536232,7433.239130434783,12.415252872753621,8.988248539094203,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2017,245,3.2653061224489797,7958.457142857143,12.461810116448982,9.07884163155102,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2018,160,3.875,10178.5,12.978927880625,10.9659032095,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
2019,218,4.26605504587156,11848.963302752294,12.962796731330275,11.972416372155962,False,business;education;weapons - business;entertainment;weapons - business;messageboardsandforums;weapons - business;shopping;weapons - business;weapons - education;entertainment;weapons - education;games;weapons - education;shopping;weapons - education;weapons - entertainment;messageboardsandforums;weapons - entertainment;shopping;weapons - entertainment;weapons - foodandrecipes;shopping;weapons - informationtech;weapons - messageboardsandforums;shopping;weapons - messageboardsandforums;weapons - shopping;weapons - weapons - 
