year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2008,643,5.405909797822706,9052.629860031104,12.862872766765161,10.709875986267495,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2009,752,5.787234042553192,9737.708776595744,12.956613043723404,10.89214402204787,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2010,990,5.429292929292929,8843.138383838384,12.992085097525253,10.850193484656566,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2011,1220,5.627868852459017,9506.687704918033,12.977413108491803,10.87087372879508,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2012,1459,5.542152159013023,9692.995202193282,12.998926403742288,10.576600438409871,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2013,1583,5.64687302590019,10310.271636133923,13.163800770120021,11.108236687005684,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2014,1641,5.348567946374162,10314.588056063376,13.21746720835466,10.950220837196834,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2015,1743,5.590361445783133,10932.664371772806,13.23320678945783,11.296439424693059,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2016,1841,5.5486148832156434,11681.494839760999,13.24430026561108,11.633204900499729,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2017,1811,6.3175041413583655,13367.78244064053,13.241651672032026,12.344578440441746,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2018,1566,6.270753512132822,15616.640485312899,13.32447003222222,12.862307089297577,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2019,1470,6.222448979591837,17171.044897959182,13.272004787594557,13.193078276435378,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
