year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,3,5.666666666666667,3528.0,11.229052439,4.191288899999999,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
1999,14,3.2857142857142856,7126.0,12.243714781428569,9.330815545714286,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2000,138,8.014492753623188,6871.963768115942,11.818127321811593,9.197884878260869,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2001,218,5.302752293577981,6384.463302752293,11.825049676055043,8.480556738119265,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2002,278,5.571942446043166,6950.280575539568,11.77011842518705,9.169983145647482,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2003,332,5.930722891566265,7907.012048192771,12.11111976243976,9.88844363503012,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2004,389,4.493573264781491,7850.12853470437,12.193960284652956,10.179715482622107,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2005,421,5.285035629453682,9211.779097387174,12.358931254655584,10.205327155106888,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2006,475,5.054736842105263,9161.715789473685,12.39045075985263,10.462483909705265,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
2007,503,4.866799204771372,9382.288270377734,12.707907793081509,10.630120996441352,False,adult;entertainment;sports - adult;socialnetworking;sports - adult;sports - business;education;sports - business;entertainment;sports - business;gambling;sports - business;games;sports - business;newsandmedia;sports - business;shopping;sports - business;sports - education;entertainment;sports - education;newsandmedia;sports - education;shopping;sports - education;sports - entertainment;games;sports - entertainment;mediasharing;sports - entertainment;newsandmedia;sports - entertainment;shopping;sports - entertainment;sports - entertainment;sports;streamingmedia - gambling;games;sports - gambling;sports - games;shopping;sports - games;sports - games;sports;vehicles - informationtech;sports - messageboardsandforums;sports - newsandmedia;sports - newsandmedia;sports;streamingmedia - shopping;sports - sports - sports;streamingmedia - sports;travel - sports;vehicles - 
