year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2002,1,2.0,5037.0,11.52617172,13.07868587,False,entertainment;humor - 
2003,2,2.0,5577.0,11.69731178,13.45427322,False,entertainment;humor - 
2004,2,2.0,5565.0,11.69731178,13.45427322,False,entertainment;humor - 
2005,3,5.0,8649.333333333334,12.715325756666667,14.227783126666667,False,entertainment;humor - 
2006,4,6.0,9672.0,12.85181082,11.2509697775,False,entertainment;humor - 
2007,6,3.1666666666666665,7178.5,11.888912536666666,9.706871468333334,False,entertainment;humor - 
2008,4,1.5,5419.0,11.1511123875,6.8681532275,False,entertainment;humor - 
2009,4,2.0,6095.75,11.5768772925,10.0402414525,False,entertainment;humor - 
2010,4,1.0,4885.5,11.1044386825,6.344176450000001,False,entertainment;humor - 
2011,4,1.0,6379.0,11.399057455,7.334371165,False,entertainment;humor - 
2012,4,2.0,6286.0,11.4517251825,6.9337211175,False,entertainment;humor - 
2013,6,1.3333333333333333,4928.833333333333,12.521533718333332,4.622480745,False,entertainment;humor - 
2014,9,2.7777777777777777,5041.555555555556,13.251701077777778,4.8551393,False,entertainment;humor - 
2015,14,6.642857142857143,6813.071428571428,13.057135642857144,9.140724657142858,False,entertainment;humor - 
2016,13,8.461538461538462,8298.538461538461,13.377140953846153,10.06830316923077,False,entertainment;humor - 
2017,13,8.153846153846153,8408.846153846154,13.289353892307693,9.996669361538462,False,entertainment;humor - 
2018,8,1.0,12771.25,12.20963795375,10.9111445525,False,entertainment;humor - 
2019,8,1.0,12473.25,12.24606837375,11.10851721625,False,entertainment;humor - 
