year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,3104.0,12.02997591,,True,jobrelated
2000,8,0.0,3799.25,11.48335460125,7.3470980775,True,jobrelated
2001,12,2.1666666666666665,4260.666666666667,12.401882325,6.295210455833334,True,jobrelated
2002,16,3.0625,4717.3125,11.8934049625,8.9391124375,True,jobrelated
2003,22,3.1818181818181817,5806.0,12.554079063636364,10.705512045454546,True,jobrelated
2004,27,2.740740740740741,7186.962962962963,12.458698222222223,10.99591735925926,True,jobrelated
2005,27,3.185185185185185,9635.962962962964,11.310655822222222,11.284791818518519,True,jobrelated
2006,32,3.25,10666.78125,12.5757912625,12.365704062499999,True,jobrelated
2007,31,3.3548387096774195,11159.516129032258,12.562604909677418,12.830582070967742,True,jobrelated
2008,37,2.945945945945946,9313.756756756757,12.118967389189187,12.060006697297299,True,jobrelated
2009,43,2.4186046511627906,7263.046511627907,11.69844214883721,11.80226288372093,True,jobrelated
2010,60,2.7333333333333334,7536.0,12.67976897,10.408028185000001,True,jobrelated
2011,77,2.8181818181818183,8142.25974025974,12.44895268181818,10.955501664935063,True,jobrelated
2012,87,2.9885057471264367,9066.183908045978,13.069666954022988,11.605673448275864,True,jobrelated
2013,94,2.851063829787234,9696.58510638298,13.27996835106383,10.992365787234043,True,jobrelated
2014,99,2.7777777777777777,9263.464646464647,12.816505464646465,10.392528414141415,True,jobrelated
2015,103,2.6893203883495147,9185.825242718447,12.701504165048544,10.204872660194175,True,jobrelated
2016,107,3.149532710280374,9400.495327102804,12.972163682242991,10.167966831775699,True,jobrelated
2017,100,3.24,9939.62,12.876121490000001,10.98488358,True,jobrelated
2018,70,3.9285714285714284,11754.257142857143,12.863673468571427,11.087966347142858,True,jobrelated
2019,58,3.9655172413793105,15042.965517241379,12.85776920862069,11.914532586206898,True,jobrelated
