year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1997,1,0.0,1839.0,12.49276364,0.0,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
1998,7,3.4285714285714284,3506.1428571428573,12.538642490142857,3.9290235228571424,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
1999,25,5.4,4449.2,13.1197106352,6.9477350888,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2000,141,4.624113475177305,5655.468085106383,12.143908211205675,8.549626747730496,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2001,255,6.3843137254901965,7180.219607843137,12.203781287960785,10.112039234901962,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2002,363,6.366391184573002,7780.972451790633,12.318329456556473,10.397424886528924,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2003,430,6.120930232558139,7761.555813953489,12.35426884455814,9.822629890627905,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2004,518,6.22007722007722,8403.509652509652,12.395160463108109,10.868286961679535,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2005,551,5.878402903811252,8801.617059891107,12.430363798965518,11.162369199274048,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2006,704,5.360795454545454,9114.943181818182,12.524073611051136,11.124954235937501,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2007,851,5.475910693301998,9394.139835487662,12.614652648331376,11.5939973653349,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2008,1037,5.14946962391514,9020.709739633558,12.593260895101256,11.381179288707813,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2009,1103,5.116047144152312,9207.71985494107,12.773586470607434,11.519214795593836,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2010,1364,5.092375366568915,9444.220674486804,12.816428890579182,11.30716238398094,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2011,1812,5.036975717439294,9980.833333333334,12.831638048449227,11.47194665897903,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2012,2153,5.211333023687877,10615.839758476544,12.882052851189037,11.69985464391082,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2013,2416,5.170115894039735,10748.674254966887,12.902157559275663,11.612459735364236,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2014,2583,5.226093689508324,11181.886566008518,13.003595070905918,11.482018573205574,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2015,2747,5.217327994175464,11493.031670913724,13.042056103869678,11.724326528827811,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2016,2813,5.1532172058300745,11892.841450408816,13.027990166039814,11.785302619285458,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2017,2736,5.501827485380117,12397.533625730994,13.013903809148392,11.94266828031798,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2018,2232,5.73073476702509,14926.319892473119,13.063142627087812,12.607206882894264,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
2019,2304,6.0546875,16645.172309027777,13.147571501504341,13.156050345842013,False,adult;business;entertainment - alcoholandtobacco;business;entertainment - blogsandpersonal;business;entertainment - business;entertainment - business;entertainment;foodandrecipes - business;entertainment;gambling - business;entertainment;games - business;entertainment;informationtech - business;entertainment;mediasharing - business;entertainment;newsandmedia - business;entertainment;shopping - business;entertainment;sports - business;entertainment;streamingmedia - business;entertainment;travel - business;entertainment;vehicles - business;entertainment;virtualreality - business;entertainment;weapons - 
