year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1999,1,0.0,927.0,10.89862245,0.0,False,business;vehicles - 
2000,6,0.0,4203.5,11.651370981666666,10.53046225,False,business;vehicles - 
2001,14,0.5714285714285714,6020.642857142857,13.337594435714285,8.426058478571429,False,business;vehicles - 
2002,37,2.72972972972973,7753.2972972972975,12.149274264864864,9.281370589189189,False,business;vehicles - 
2003,44,4.318181818181818,9427.40909090909,12.071134618181818,8.45669371590909,False,business;vehicles - 
2004,53,2.30188679245283,6926.905660377359,11.600122543396227,6.7519271150943405,False,business;vehicles - 
2005,80,2.8375,8392.3625,12.12997281375,8.410816347499999,False,business;vehicles - 
2006,94,2.7127659574468086,8606.95744680851,12.164426138297873,9.06846765425532,False,business;vehicles - 
2007,106,2.1037735849056602,8487.377358490567,12.508717367924529,8.725517600943396,False,business;vehicles - 
2008,119,2.168067226890756,8473.53781512605,13.101405966386555,9.094561731092437,False,business;vehicles - 
2009,118,1.6779661016949152,7884.610169491525,13.098386550847458,9.352439254237288,False,business;vehicles - 
2010,150,1.7,8106.22,13.154354873333332,8.87603376,False,business;vehicles - 
2011,170,1.5058823529411764,8229.223529411765,12.677241676470588,8.549075064705882,False,business;vehicles - 
2012,235,2.1446808510638298,9533.646808510639,12.74491479574468,9.496032727659575,False,business;vehicles - 
2013,268,2.361940298507463,9869.828358208955,12.620442902985074,9.892430552238805,False,business;vehicles - 
2014,286,2.527972027972028,11048.786713286714,12.760186667832166,10.176838087412587,False,business;vehicles - 
2015,329,2.7051671732522795,12120.90273556231,12.762493060790275,10.517614072948328,False,business;vehicles - 
2016,331,2.5377643504531724,11371.785498489426,13.040818274924472,9.98532012386707,False,business;vehicles - 
2017,299,3.0535117056856187,13188.752508361204,13.202171739130435,10.455069043478261,False,business;vehicles - 
2018,207,4.009661835748792,16665.63768115942,13.218013942028985,11.253824415458938,False,business;vehicles - 
2019,215,4.916279069767442,21076.25581395349,13.545205018604651,12.41678783255814,False,business;vehicles - 
