year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2008,508,6.706692913385827,8437.417322834646,12.219557854921261,10.12272659070866,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2009,486,6.436213991769547,8997.569958847736,12.748524403374486,10.216722685946502,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2010,632,6.430379746835443,8753.082278481013,12.67177889188924,9.902615352689873,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2011,887,5.978579481397971,8851.916572717024,12.581854232018038,10.015984260124013,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2012,1101,5.444141689373297,8888.446866485014,12.722342469673027,10.311842814741144,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2013,1285,4.788326848249027,8892.796108949417,12.683560898902728,10.332220542140078,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2014,1548,4.211240310077519,9011.343669250646,12.578667456014212,10.192349100071057,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2015,1833,4.040916530278232,9153.776322967813,12.590199985881068,10.756117919427167,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2016,1988,4.251006036217304,9619.86569416499,12.718309011016096,11.395660247072435,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2017,1715,4.4338192419825075,10013.51195335277,12.75088660917201,11.46765294605831,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2018,1299,5.631254811393379,12599.556581986144,12.98084021768283,12.555668626859122,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
2019,1435,5.722648083623693,13667.64599303136,12.920735785519165,13.092719218160278,False,alcoholandtobacco;business;foodandrecipes - alcoholandtobacco;foodandrecipes - alcoholandtobacco;foodandrecipes;shopping - blogsandpersonal;business;foodandrecipes - blogsandpersonal;education;foodandrecipes - blogsandpersonal;foodandrecipes - business;education;foodandrecipes - business;entertainment;foodandrecipes - business;foodandrecipes - business;foodandrecipes;health - business;foodandrecipes;shopping - business;foodandrecipes;travel - deceptive;foodandrecipes - drugs;foodandrecipes - drugs;foodandrecipes;shopping - education;entertainment;foodandrecipes - education;foodandrecipes - education;foodandrecipes;health - education;foodandrecipes;shopping - entertainment;foodandrecipes - entertainment;foodandrecipes;shopping - foodandrecipes - foodandrecipes;health - foodandrecipes;health;shopping - foodandrecipes;shopping - foodandrecipes;shopping;weapons - foodandrecipes;travel - 
