year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2010,25,3.0,15397.8,11.460482142800002,12.043074786000002,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2011,33,2.9393939393939394,14570.545454545454,12.182564466969696,13.42951238878788,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2012,38,3.9473684210526314,11896.052631578947,12.389207210263159,13.081106874473683,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2013,46,2.391304347826087,12354.108695652174,12.069636256086955,12.367480400652175,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2014,43,3.0697674418604652,13411.511627906977,12.451028894418604,11.754979614186045,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2015,44,3.272727272727273,14218.34090909091,12.269963177272729,11.956580339772726,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2016,50,3.64,15622.6,12.628494120400001,12.839281141599999,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2017,34,5.411764705882353,25268.5,12.499698925294119,13.83381608617647,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2018,21,7.571428571428571,24302.714285714286,12.587975046666667,14.383276320476192,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
2019,38,5.052631578947368,28432.42105263158,13.05302997263158,13.883931862894736,False,adult;mediasharing;socialnetworking - adult;personals;socialnetworking - adult;socialnetworking - adult;socialnetworking;sports - blogsandpersonal;business;socialnetworking - blogsandpersonal;socialnetworking - business;education;socialnetworking - business;informationtech;socialnetworking - business;mediasharing;socialnetworking - business;socialnetworking - chatandmessaging;socialnetworking - entertainment;socialnetworking - entertainment;socialnetworking;vehicles - games;socialnetworking - jobrelated;socialnetworking - mediasharing;socialnetworking - personals;socialnetworking - shopping;socialnetworking;streamingmedia - socialnetworking - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - socialnetworking;travel - socialnetworking;vehicles - 
