year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1997,1,0.0,1839.0,12.49276364,0.0,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
1998,7,2.0,2502.285714285714,14.094306298571428,2.1327568514285713,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
1999,27,3.888888888888889,4161.037037037037,13.299045036296295,4.913804057777778,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2000,126,4.26984126984127,6369.674603174603,12.724332591984128,10.296958781349206,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2001,216,5.625,9045.861111111111,13.047126123981482,12.44843004300926,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2002,299,6.093645484949833,9244.862876254181,12.499433305685619,12.34783827414716,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2003,311,6.212218649517685,9463.774919614149,12.410302739196142,11.887037275209005,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2004,362,6.447513812154696,9689.03591160221,12.520283989972377,12.245041940635357,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2005,349,5.541547277936963,9880.444126074499,12.575196986733523,12.57439266767908,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2006,453,5.344370860927152,9579.430463576158,12.615964560176602,12.61393023768212,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
