year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2007,543,5.220994475138122,10283.127071823204,12.921924579539594,12.859606313222837,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2008,545,5.040366972477064,9660.497247706422,13.101365267412843,12.417975148770642,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2009,664,5.405120481927711,10344.048192771084,13.455959073478919,13.114208737590362,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2010,859,5.392316647264261,11092.83003492433,13.405589862293365,12.875480033725264,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2011,1103,5.8268359020852225,11487.263825929283,13.151456740135991,12.498675846926561,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2012,1232,6.054383116883117,12336.987012987012,13.11230246898539,12.554982774310062,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2013,1333,5.447111777944486,12127.42385596399,13.158185901965492,12.229191087929483,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2014,1483,5.305461901550911,12342.10586648685,13.221364869224546,12.049461998334456,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2015,1660,5.142168674698795,12476.457228915662,13.30080717172289,12.21415773981325,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2016,1807,5.062534587714444,12939.647482014389,13.287879418959601,12.056841791920311,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2017,1814,5.280044101433297,13763.074421168689,13.344738885148843,12.086115661786108,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2018,1472,5.870244565217392,16729.916440217392,13.325842448199731,13.246654654456524,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
2019,1495,5.845484949832776,17472.682943143813,13.224389861311037,13.388784593826086,False,adult;entertainment;newsandmedia - blogsandpersonal;entertainment;newsandmedia - business;entertainment;newsandmedia - chatandmessaging;entertainment;newsandmedia - economyandfinance;entertainment;newsandmedia - education;entertainment;newsandmedia - entertainment;newsandmedia - entertainment;newsandmedia;searchenginesandportals - entertainment;newsandmedia;shopping - entertainment;newsandmedia;sports - entertainment;newsandmedia;streamingmedia - entertainment;newsandmedia;vehicles - 
