year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,1,0.0,4823.0,11.29354855,13.81666965,False,adult;streamingmedia - 
2002,2,0.0,4823.0,11.293548555,13.81666965,False,adult;streamingmedia - 
2003,5,0.0,3589.4,12.759131096,8.228031654,False,adult;streamingmedia - 
2004,6,0.0,3770.6666666666665,12.52086154,9.125256549999998,False,adult;streamingmedia - 
2005,7,0.7142857142857143,4536.285714285715,13.020023108571428,10.269148164285713,False,adult;streamingmedia - 
2006,12,2.75,5869.916666666667,10.751462491666667,9.578641133333333,False,adult;streamingmedia - 
2007,15,4.066666666666666,6990.733333333334,10.962850273333334,7.408589573333333,False,adult;streamingmedia - 
2008,22,5.318181818181818,7626.181818181818,12.455055068181819,9.320742650000001,False,adult;streamingmedia - 
2009,20,6.7,6530.75,12.01762278,9.136219775,False,adult;streamingmedia - 
2010,36,6.111111111111111,6531.138888888889,12.870997819444444,10.490018730555555,False,adult;streamingmedia - 
2011,36,5.666666666666667,6560.083333333333,12.674718338888889,10.704080169444445,False,adult;streamingmedia - 
2012,35,3.942857142857143,5763.2,12.35263426,7.8899263,False,adult;streamingmedia - 
2013,51,5.803921568627451,7315.450980392156,12.655970850980392,10.285787492156864,False,adult;streamingmedia - 
2014,61,5.60655737704918,8970.213114754099,12.984785572131148,11.391054365573769,False,adult;streamingmedia - 
2015,65,6.184615384615385,11222.876923076923,13.57558658,12.53865174,False,adult;streamingmedia - 
2016,73,5.465753424657534,12849.520547945205,13.787075356164383,11.976048679452056,False,adult;streamingmedia - 
2017,75,3.1866666666666665,13484.306666666667,13.373105786666667,12.426407813333332,False,adult;streamingmedia - 
2018,15,2.2666666666666666,9791.6,12.414114273333333,8.820758986666668,False,adult;streamingmedia - 
2019,35,3.4285714285714284,12905.857142857143,13.067279317142857,7.706099782857142,False,adult;streamingmedia - 
