year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,1,0.0,12407.0,8.099052452999999,9.299571214,False,adult;shopping - 
1999,2,0.0,2204.0,4.362777778,0.0,False,adult;shopping - 
2000,3,0.0,6825.666666666667,6.384486056666667,4.738780693333333,False,adult;shopping - 
2001,5,0.0,8479.0,9.63111658,5.664734804,False,adult;shopping - 
2002,13,0.0,5392.7692307692305,10.385942792307693,6.251938557692307,False,adult;shopping - 
2003,15,0.0,4633.0,9.75804478,6.92271108,False,adult;shopping - 
2004,21,0.38095238095238093,4644.190476190476,10.108343495238095,6.474977261904762,False,adult;shopping - 
2005,23,0.6956521739130435,4421.913043478261,12.066477047826089,5.422433617391305,False,adult;shopping - 
2006,33,0.42424242424242425,4574.212121212121,10.9132289,4.881176681818181,False,adult;shopping - 
2007,49,0.5306122448979592,7154.7959183673465,10.579553818367346,6.230429573469389,False,adult;shopping - 
2008,60,0.8333333333333334,6322.05,10.939578171666666,6.961852513333333,False,adult;shopping - 
2009,61,0.8852459016393442,6110.11475409836,11.174765090163936,7.086910939344263,False,adult;shopping - 
2010,70,1.2571428571428571,5985.4857142857145,11.783615115714285,7.2523275257142865,False,adult;shopping - 
2011,78,1.4871794871794872,6392.2692307692305,12.415973974358973,7.9255969846153835,False,adult;shopping - 
2012,100,1.38,7113.68,12.425518259999999,9.715558457,False,adult;shopping - 
2013,103,1.2912621359223302,8101.203883495145,12.288259553398058,9.579672241747573,False,adult;shopping - 
2014,117,1.0427350427350428,9478.897435897436,12.200867598290598,10.874089641025643,False,adult;shopping - 
2015,112,1.1607142857142858,9365.392857142857,12.071971625000002,10.935443910714286,False,adult;shopping - 
2016,94,1.372340425531915,11012.712765957447,12.381498042553194,12.435627042553191,False,adult;shopping - 
2017,92,1.7826086956521738,10516.54347826087,12.109612923913044,12.196703206521738,False,adult;shopping - 
2018,48,1.3333333333333333,13120.979166666666,12.08399377708333,10.495672556249998,False,adult;shopping - 
2019,77,1.7532467532467533,12996.181818181818,12.24778002857143,11.701465407792208,False,adult;shopping - 
