year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2000,3,0.0,3081.6666666666665,10.17455159,4.5197,False,alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - blogsandpersonal;drugs - business;drugs - business;drugs;education - business;drugs;shopping - drugs - drugs;education - drugs;education;health - drugs;education;shopping - drugs;foodandrecipes - drugs;foodandrecipes;shopping - drugs;messageboardsandforums - drugs;newsandmedia - drugs;shopping - 
2001,5,0.0,4445.2,11.306707046,2.976622612,False,alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - blogsandpersonal;drugs - business;drugs - business;drugs;education - business;drugs;shopping - drugs - drugs;education - drugs;education;health - drugs;education;shopping - drugs;foodandrecipes - drugs;foodandrecipes;shopping - drugs;messageboardsandforums - drugs;newsandmedia - drugs;shopping - 
2002,7,0.0,5988.714285714285,11.683032152857141,6.226127967142857,False,alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - blogsandpersonal;drugs - business;drugs - business;drugs;education - business;drugs;shopping - drugs - drugs;education - drugs;education;health - drugs;education;shopping - drugs;foodandrecipes - drugs;foodandrecipes;shopping - drugs;messageboardsandforums - drugs;newsandmedia - drugs;shopping - 
2003,7,0.0,5136.571428571428,12.115680865714284,8.165155545714287,False,alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - blogsandpersonal;drugs - business;drugs - business;drugs;education - business;drugs;shopping - drugs - drugs;education - drugs;education;health - drugs;education;shopping - drugs;foodandrecipes - drugs;foodandrecipes;shopping - drugs;messageboardsandforums - drugs;newsandmedia - drugs;shopping - 
2004,12,1.1666666666666667,6960.916666666667,11.0703896675,8.516538340833334,False,alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - blogsandpersonal;drugs - business;drugs - business;drugs;education - business;drugs;shopping - drugs - drugs;education - drugs;education;health - drugs;education;shopping - drugs;foodandrecipes - drugs;foodandrecipes;shopping - drugs;messageboardsandforums - drugs;newsandmedia - drugs;shopping - 
2005,10,0.0,7924.1,11.933191007,7.180427907,False,alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - blogsandpersonal;drugs - business;drugs - business;drugs;education - business;drugs;shopping - drugs - drugs;education - drugs;education;health - drugs;education;shopping - drugs;foodandrecipes - drugs;foodandrecipes;shopping - drugs;messageboardsandforums - drugs;newsandmedia - drugs;shopping - 
2006,14,0.0,7124.714285714285,10.975048628571429,6.281551097142858,False,alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - blogsandpersonal;drugs - business;drugs - business;drugs;education - business;drugs;shopping - drugs - drugs;education - drugs;education;health - drugs;education;shopping - drugs;foodandrecipes - drugs;foodandrecipes;shopping - drugs;messageboardsandforums - drugs;newsandmedia - drugs;shopping - 
2007,12,0.16666666666666666,6968.416666666667,11.848587394166666,9.783828963333333,False,alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - blogsandpersonal;drugs - business;drugs - business;drugs;education - business;drugs;shopping - drugs - drugs;education - drugs;education;health - drugs;education;shopping - drugs;foodandrecipes - drugs;foodandrecipes;shopping - drugs;messageboardsandforums - drugs;newsandmedia - drugs;shopping - 
2008,22,0.7727272727272727,5250.272727272727,12.188032029999999,10.692471343636363,False,alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - blogsandpersonal;drugs - business;drugs - business;drugs;education - business;drugs;shopping - drugs - drugs;education - drugs;education;health - drugs;education;shopping - drugs;foodandrecipes - drugs;foodandrecipes;shopping - drugs;messageboardsandforums - drugs;newsandmedia - drugs;shopping - 
2009,25,1.08,4548.72,11.4905756092,7.4409752108,False,alcoholandtobacco;drugs;education - alcoholandtobacco;drugs;shopping - blogsandpersonal;drugs - business;drugs - business;drugs;education - business;drugs;shopping - drugs - drugs;education - drugs;education;health - drugs;education;shopping - drugs;foodandrecipes - drugs;foodandrecipes;shopping - drugs;messageboardsandforums - drugs;newsandmedia - drugs;shopping - 
