year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1997,2,2.5,8597.5,11.609032930000001,14.527743560000001,False,adult;business;informationtech - adult;entertainment;informationtech - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - advertising;business;informationtech - advertising;informationtech - blogsandpersonal;business;informationtech - blogsandpersonal;education;informationtech - blogsandpersonal;informationtech - business;chatandmessaging;informationtech - business;economyandfinance;informationtech - business;education;informationtech - business;entertainment;informationtech - business;games;informationtech - business;hacking;informationtech - business;informationtech - business;informationtech;jobrelated - business;informationtech;mediasharing - business;informationtech;messageboardsandforums - business;informationtech;newsandmedia - business;informationtech;parked - business;informationtech;proxyandfilteravoidance - business;informationtech;searchenginesandportals - business;informationtech;shopping - business;informationtech;socialnetworking - business;informationtech;streamingmedia - business;informationtech;travel - chatandmessaging;informationtech - contentserver;informationtech - deceptive;informationtech - economyandfinance;education;informationtech - economyandfinance;informationtech - education;entertainment;informationtech - education;gambling;informationtech - education;games;informationtech - education;health;informationtech - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - entertainment;games;informationtech - entertainment;illegalcontent;informationtech - entertainment;informationtech - entertainment;informationtech;mediasharing - entertainment;informationtech;messageboardsandforums - entertainment;informationtech;newsandmedia - entertainment;informationtech;shopping - entertainment;informationtech;streamingmedia - games;informationtech - games;informationtech;mediasharing - games;informationtech;newsandmedia - games;informationtech;shopping - illegalcontent;informationtech - illegalcontent;informationtech;mediasharing - informationtech - informationtech;jobrelated - informationtech;mediasharing - informationtech;messageboardsandforums - informationtech;newsandmedia - informationtech;newsandmedia;shopping - informationtech;proxyandfilteravoidance - informationtech;searchenginesandportals - informationtech;shopping - informationtech;sports - informationtech;streamingmedia - informationtech;travel - informationtech;weapons - 
1998,13,0.46153846153846156,5274.0,11.408248880769232,4.405944216153846,False,adult;business;informationtech - adult;entertainment;informationtech - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - advertising;business;informationtech - advertising;informationtech - blogsandpersonal;business;informationtech - blogsandpersonal;education;informationtech - blogsandpersonal;informationtech - business;chatandmessaging;informationtech - business;economyandfinance;informationtech - business;education;informationtech - business;entertainment;informationtech - business;games;informationtech - business;hacking;informationtech - business;informationtech - business;informationtech;jobrelated - business;informationtech;mediasharing - business;informationtech;messageboardsandforums - business;informationtech;newsandmedia - business;informationtech;parked - business;informationtech;proxyandfilteravoidance - business;informationtech;searchenginesandportals - business;informationtech;shopping - business;informationtech;socialnetworking - business;informationtech;streamingmedia - business;informationtech;travel - chatandmessaging;informationtech - contentserver;informationtech - deceptive;informationtech - economyandfinance;education;informationtech - economyandfinance;informationtech - education;entertainment;informationtech - education;gambling;informationtech - education;games;informationtech - education;health;informationtech - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - entertainment;games;informationtech - entertainment;illegalcontent;informationtech - entertainment;informationtech - entertainment;informationtech;mediasharing - entertainment;informationtech;messageboardsandforums - entertainment;informationtech;newsandmedia - entertainment;informationtech;shopping - entertainment;informationtech;streamingmedia - games;informationtech - games;informationtech;mediasharing - games;informationtech;newsandmedia - games;informationtech;shopping - illegalcontent;informationtech - illegalcontent;informationtech;mediasharing - informationtech - informationtech;jobrelated - informationtech;mediasharing - informationtech;messageboardsandforums - informationtech;newsandmedia - informationtech;newsandmedia;shopping - informationtech;proxyandfilteravoidance - informationtech;searchenginesandportals - informationtech;shopping - informationtech;sports - informationtech;streamingmedia - informationtech;travel - informationtech;weapons - 
1999,77,1.4935064935064934,4015.12987012987,10.600353713948051,4.424669725194805,False,adult;business;informationtech - adult;entertainment;informationtech - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - advertising;business;informationtech - advertising;informationtech - blogsandpersonal;business;informationtech - blogsandpersonal;education;informationtech - blogsandpersonal;informationtech - business;chatandmessaging;informationtech - business;economyandfinance;informationtech - business;education;informationtech - business;entertainment;informationtech - business;games;informationtech - business;hacking;informationtech - business;informationtech - business;informationtech;jobrelated - business;informationtech;mediasharing - business;informationtech;messageboardsandforums - business;informationtech;newsandmedia - business;informationtech;parked - business;informationtech;proxyandfilteravoidance - business;informationtech;searchenginesandportals - business;informationtech;shopping - business;informationtech;socialnetworking - business;informationtech;streamingmedia - business;informationtech;travel - chatandmessaging;informationtech - contentserver;informationtech - deceptive;informationtech - economyandfinance;education;informationtech - economyandfinance;informationtech - education;entertainment;informationtech - education;gambling;informationtech - education;games;informationtech - education;health;informationtech - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - entertainment;games;informationtech - entertainment;illegalcontent;informationtech - entertainment;informationtech - entertainment;informationtech;mediasharing - entertainment;informationtech;messageboardsandforums - entertainment;informationtech;newsandmedia - entertainment;informationtech;shopping - entertainment;informationtech;streamingmedia - games;informationtech - games;informationtech;mediasharing - games;informationtech;newsandmedia - games;informationtech;shopping - illegalcontent;informationtech - illegalcontent;informationtech;mediasharing - informationtech - informationtech;jobrelated - informationtech;mediasharing - informationtech;messageboardsandforums - informationtech;newsandmedia - informationtech;newsandmedia;shopping - informationtech;proxyandfilteravoidance - informationtech;searchenginesandportals - informationtech;shopping - informationtech;sports - informationtech;streamingmedia - informationtech;travel - informationtech;weapons - 
2000,424,2.410377358490566,5334.514150943396,11.789471149150945,7.024992697830189,False,adult;business;informationtech - adult;entertainment;informationtech - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - advertising;business;informationtech - advertising;informationtech - blogsandpersonal;business;informationtech - blogsandpersonal;education;informationtech - blogsandpersonal;informationtech - business;chatandmessaging;informationtech - business;economyandfinance;informationtech - business;education;informationtech - business;entertainment;informationtech - business;games;informationtech - business;hacking;informationtech - business;informationtech - business;informationtech;jobrelated - business;informationtech;mediasharing - business;informationtech;messageboardsandforums - business;informationtech;newsandmedia - business;informationtech;parked - business;informationtech;proxyandfilteravoidance - business;informationtech;searchenginesandportals - business;informationtech;shopping - business;informationtech;socialnetworking - business;informationtech;streamingmedia - business;informationtech;travel - chatandmessaging;informationtech - contentserver;informationtech - deceptive;informationtech - economyandfinance;education;informationtech - economyandfinance;informationtech - education;entertainment;informationtech - education;gambling;informationtech - education;games;informationtech - education;health;informationtech - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - entertainment;games;informationtech - entertainment;illegalcontent;informationtech - entertainment;informationtech - entertainment;informationtech;mediasharing - entertainment;informationtech;messageboardsandforums - entertainment;informationtech;newsandmedia - entertainment;informationtech;shopping - entertainment;informationtech;streamingmedia - games;informationtech - games;informationtech;mediasharing - games;informationtech;newsandmedia - games;informationtech;shopping - illegalcontent;informationtech - illegalcontent;informationtech;mediasharing - informationtech - informationtech;jobrelated - informationtech;mediasharing - informationtech;messageboardsandforums - informationtech;newsandmedia - informationtech;newsandmedia;shopping - informationtech;proxyandfilteravoidance - informationtech;searchenginesandportals - informationtech;shopping - informationtech;sports - informationtech;streamingmedia - informationtech;travel - informationtech;weapons - 
2001,726,1.822314049586777,5588.371900826446,11.845984870333336,7.140199411404959,False,adult;business;informationtech - adult;entertainment;informationtech - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - advertising;business;informationtech - advertising;informationtech - blogsandpersonal;business;informationtech - blogsandpersonal;education;informationtech - blogsandpersonal;informationtech - business;chatandmessaging;informationtech - business;economyandfinance;informationtech - business;education;informationtech - business;entertainment;informationtech - business;games;informationtech - business;hacking;informationtech - business;informationtech - business;informationtech;jobrelated - business;informationtech;mediasharing - business;informationtech;messageboardsandforums - business;informationtech;newsandmedia - business;informationtech;parked - business;informationtech;proxyandfilteravoidance - business;informationtech;searchenginesandportals - business;informationtech;shopping - business;informationtech;socialnetworking - business;informationtech;streamingmedia - business;informationtech;travel - chatandmessaging;informationtech - contentserver;informationtech - deceptive;informationtech - economyandfinance;education;informationtech - economyandfinance;informationtech - education;entertainment;informationtech - education;gambling;informationtech - education;games;informationtech - education;health;informationtech - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - entertainment;games;informationtech - entertainment;illegalcontent;informationtech - entertainment;informationtech - entertainment;informationtech;mediasharing - entertainment;informationtech;messageboardsandforums - entertainment;informationtech;newsandmedia - entertainment;informationtech;shopping - entertainment;informationtech;streamingmedia - games;informationtech - games;informationtech;mediasharing - games;informationtech;newsandmedia - games;informationtech;shopping - illegalcontent;informationtech - illegalcontent;informationtech;mediasharing - informationtech - informationtech;jobrelated - informationtech;mediasharing - informationtech;messageboardsandforums - informationtech;newsandmedia - informationtech;newsandmedia;shopping - informationtech;proxyandfilteravoidance - informationtech;searchenginesandportals - informationtech;shopping - informationtech;sports - informationtech;streamingmedia - informationtech;travel - informationtech;weapons - 
2002,1133,1.9646954986760812,5608.848190644308,11.71183088191527,7.270442263927625,False,adult;business;informationtech - adult;entertainment;informationtech - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - advertising;business;informationtech - advertising;informationtech - blogsandpersonal;business;informationtech - blogsandpersonal;education;informationtech - blogsandpersonal;informationtech - business;chatandmessaging;informationtech - business;economyandfinance;informationtech - business;education;informationtech - business;entertainment;informationtech - business;games;informationtech - business;hacking;informationtech - business;informationtech - business;informationtech;jobrelated - business;informationtech;mediasharing - business;informationtech;messageboardsandforums - business;informationtech;newsandmedia - business;informationtech;parked - business;informationtech;proxyandfilteravoidance - business;informationtech;searchenginesandportals - business;informationtech;shopping - business;informationtech;socialnetworking - business;informationtech;streamingmedia - business;informationtech;travel - chatandmessaging;informationtech - contentserver;informationtech - deceptive;informationtech - economyandfinance;education;informationtech - economyandfinance;informationtech - education;entertainment;informationtech - education;gambling;informationtech - education;games;informationtech - education;health;informationtech - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - entertainment;games;informationtech - entertainment;illegalcontent;informationtech - entertainment;informationtech - entertainment;informationtech;mediasharing - entertainment;informationtech;messageboardsandforums - entertainment;informationtech;newsandmedia - entertainment;informationtech;shopping - entertainment;informationtech;streamingmedia - games;informationtech - games;informationtech;mediasharing - games;informationtech;newsandmedia - games;informationtech;shopping - illegalcontent;informationtech - illegalcontent;informationtech;mediasharing - informationtech - informationtech;jobrelated - informationtech;mediasharing - informationtech;messageboardsandforums - informationtech;newsandmedia - informationtech;newsandmedia;shopping - informationtech;proxyandfilteravoidance - informationtech;searchenginesandportals - informationtech;shopping - informationtech;sports - informationtech;streamingmedia - informationtech;travel - informationtech;weapons - 
2003,1579,1.721342621912603,5622.593413552881,11.66160098586447,7.248520799943001,False,adult;business;informationtech - adult;entertainment;informationtech - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - advertising;business;informationtech - advertising;informationtech - blogsandpersonal;business;informationtech - blogsandpersonal;education;informationtech - blogsandpersonal;informationtech - business;chatandmessaging;informationtech - business;economyandfinance;informationtech - business;education;informationtech - business;entertainment;informationtech - business;games;informationtech - business;hacking;informationtech - business;informationtech - business;informationtech;jobrelated - business;informationtech;mediasharing - business;informationtech;messageboardsandforums - business;informationtech;newsandmedia - business;informationtech;parked - business;informationtech;proxyandfilteravoidance - business;informationtech;searchenginesandportals - business;informationtech;shopping - business;informationtech;socialnetworking - business;informationtech;streamingmedia - business;informationtech;travel - chatandmessaging;informationtech - contentserver;informationtech - deceptive;informationtech - economyandfinance;education;informationtech - economyandfinance;informationtech - education;entertainment;informationtech - education;gambling;informationtech - education;games;informationtech - education;health;informationtech - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - entertainment;games;informationtech - entertainment;illegalcontent;informationtech - entertainment;informationtech - entertainment;informationtech;mediasharing - entertainment;informationtech;messageboardsandforums - entertainment;informationtech;newsandmedia - entertainment;informationtech;shopping - entertainment;informationtech;streamingmedia - games;informationtech - games;informationtech;mediasharing - games;informationtech;newsandmedia - games;informationtech;shopping - illegalcontent;informationtech - illegalcontent;informationtech;mediasharing - informationtech - informationtech;jobrelated - informationtech;mediasharing - informationtech;messageboardsandforums - informationtech;newsandmedia - informationtech;newsandmedia;shopping - informationtech;proxyandfilteravoidance - informationtech;searchenginesandportals - informationtech;shopping - informationtech;sports - informationtech;streamingmedia - informationtech;travel - informationtech;weapons - 
2004,2018,1.819623389494549,5816.318136769079,11.92981784240337,7.503281986456887,False,adult;business;informationtech - adult;entertainment;informationtech - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - advertising;business;informationtech - advertising;informationtech - blogsandpersonal;business;informationtech - blogsandpersonal;education;informationtech - blogsandpersonal;informationtech - business;chatandmessaging;informationtech - business;economyandfinance;informationtech - business;education;informationtech - business;entertainment;informationtech - business;games;informationtech - business;hacking;informationtech - business;informationtech - business;informationtech;jobrelated - business;informationtech;mediasharing - business;informationtech;messageboardsandforums - business;informationtech;newsandmedia - business;informationtech;parked - business;informationtech;proxyandfilteravoidance - business;informationtech;searchenginesandportals - business;informationtech;shopping - business;informationtech;socialnetworking - business;informationtech;streamingmedia - business;informationtech;travel - chatandmessaging;informationtech - contentserver;informationtech - deceptive;informationtech - economyandfinance;education;informationtech - economyandfinance;informationtech - education;entertainment;informationtech - education;gambling;informationtech - education;games;informationtech - education;health;informationtech - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - entertainment;games;informationtech - entertainment;illegalcontent;informationtech - entertainment;informationtech - entertainment;informationtech;mediasharing - entertainment;informationtech;messageboardsandforums - entertainment;informationtech;newsandmedia - entertainment;informationtech;shopping - entertainment;informationtech;streamingmedia - games;informationtech - games;informationtech;mediasharing - games;informationtech;newsandmedia - games;informationtech;shopping - illegalcontent;informationtech - illegalcontent;informationtech;mediasharing - informationtech - informationtech;jobrelated - informationtech;mediasharing - informationtech;messageboardsandforums - informationtech;newsandmedia - informationtech;newsandmedia;shopping - informationtech;proxyandfilteravoidance - informationtech;searchenginesandportals - informationtech;shopping - informationtech;sports - informationtech;streamingmedia - informationtech;travel - informationtech;weapons - 
2005,2392,1.7111204013377928,5978.7203177257525,12.00160528685368,7.66359673076087,False,adult;business;informationtech - adult;entertainment;informationtech - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - advertising;business;informationtech - advertising;informationtech - blogsandpersonal;business;informationtech - blogsandpersonal;education;informationtech - blogsandpersonal;informationtech - business;chatandmessaging;informationtech - business;economyandfinance;informationtech - business;education;informationtech - business;entertainment;informationtech - business;games;informationtech - business;hacking;informationtech - business;informationtech - business;informationtech;jobrelated - business;informationtech;mediasharing - business;informationtech;messageboardsandforums - business;informationtech;newsandmedia - business;informationtech;parked - business;informationtech;proxyandfilteravoidance - business;informationtech;searchenginesandportals - business;informationtech;shopping - business;informationtech;socialnetworking - business;informationtech;streamingmedia - business;informationtech;travel - chatandmessaging;informationtech - contentserver;informationtech - deceptive;informationtech - economyandfinance;education;informationtech - economyandfinance;informationtech - education;entertainment;informationtech - education;gambling;informationtech - education;games;informationtech - education;health;informationtech - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - entertainment;games;informationtech - entertainment;illegalcontent;informationtech - entertainment;informationtech - entertainment;informationtech;mediasharing - entertainment;informationtech;messageboardsandforums - entertainment;informationtech;newsandmedia - entertainment;informationtech;shopping - entertainment;informationtech;streamingmedia - games;informationtech - games;informationtech;mediasharing - games;informationtech;newsandmedia - games;informationtech;shopping - illegalcontent;informationtech - illegalcontent;informationtech;mediasharing - informationtech - informationtech;jobrelated - informationtech;mediasharing - informationtech;messageboardsandforums - informationtech;newsandmedia - informationtech;newsandmedia;shopping - informationtech;proxyandfilteravoidance - informationtech;searchenginesandportals - informationtech;shopping - informationtech;sports - informationtech;streamingmedia - informationtech;travel - informationtech;weapons - 
2006,3281,1.719292898506553,6142.855531850046,12.053410495102101,7.896776127323984,False,adult;business;informationtech - adult;entertainment;informationtech - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - advertising;business;informationtech - advertising;informationtech - blogsandpersonal;business;informationtech - blogsandpersonal;education;informationtech - blogsandpersonal;informationtech - business;chatandmessaging;informationtech - business;economyandfinance;informationtech - business;education;informationtech - business;entertainment;informationtech - business;games;informationtech - business;hacking;informationtech - business;informationtech - business;informationtech;jobrelated - business;informationtech;mediasharing - business;informationtech;messageboardsandforums - business;informationtech;newsandmedia - business;informationtech;parked - business;informationtech;proxyandfilteravoidance - business;informationtech;searchenginesandportals - business;informationtech;shopping - business;informationtech;socialnetworking - business;informationtech;streamingmedia - business;informationtech;travel - chatandmessaging;informationtech - contentserver;informationtech - deceptive;informationtech - economyandfinance;education;informationtech - economyandfinance;informationtech - education;entertainment;informationtech - education;gambling;informationtech - education;games;informationtech - education;health;informationtech - education;informationtech - education;informationtech;jobrelated - education;informationtech;mediasharing - education;informationtech;messageboardsandforums - education;informationtech;newsandmedia - education;informationtech;searchenginesandportals - education;informationtech;shopping - education;informationtech;streamingmedia - education;informationtech;travel - entertainment;games;informationtech - entertainment;illegalcontent;informationtech - entertainment;informationtech - entertainment;informationtech;mediasharing - entertainment;informationtech;messageboardsandforums - entertainment;informationtech;newsandmedia - entertainment;informationtech;shopping - entertainment;informationtech;streamingmedia - games;informationtech - games;informationtech;mediasharing - games;informationtech;newsandmedia - games;informationtech;shopping - illegalcontent;informationtech - illegalcontent;informationtech;mediasharing - informationtech - informationtech;jobrelated - informationtech;mediasharing - informationtech;messageboardsandforums - informationtech;newsandmedia - informationtech;newsandmedia;shopping - informationtech;proxyandfilteravoidance - informationtech;searchenginesandportals - informationtech;shopping - informationtech;sports - informationtech;streamingmedia - informationtech;travel - informationtech;weapons - 
