year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,7,4.0,2506.8571428571427,11.225078872857143,2.3199152442857143,True,uncategorized
1999,31,1.2580645161290323,3209.967741935484,10.830308370967744,3.7276473387096773,True,uncategorized
2000,181,3.3370165745856353,5426.0,11.892231834254144,7.648878580110497,True,uncategorized
2001,271,3.3062730627306274,5708.036900369004,11.885051741697417,6.876223346863469,True,uncategorized
2002,370,2.424324324324324,5498.848648648649,11.866050686486487,6.6739844972972975,True,uncategorized
2003,522,2.8486590038314175,6127.365900383142,11.466210022988506,7.050455787356323,True,uncategorized
2004,686,2.8221574344023326,6322.9416909620995,11.629020879008747,7.4639797346938765,True,uncategorized
2005,885,2.855367231638418,6876.726553672316,11.90153163841808,7.812803481355933,True,uncategorized
2006,1352,2.662721893491124,6468.085798816568,12.303316945266273,8.166244445266273,True,uncategorized
2007,1815,2.958677685950413,6993.916804407713,12.415694369146006,8.902098490358126,True,uncategorized
2008,2308,2.7608318890814556,6801.528596187175,12.485892404679376,8.432692564991335,True,uncategorized
2009,2583,2.64847077042199,6777.174603174603,12.540334939992258,8.190607259001162,True,uncategorized
2010,3681,2.9252920402064655,6907.090192882369,12.575489176854116,8.209018446074436,True,uncategorized
2011,4994,2.6177412895474568,7318.691029235082,12.549639785742892,8.821240010012014,True,uncategorized
2012,5283,2.557826992239258,7340.929585462805,12.639165589627106,8.640911989399962,True,uncategorized
2013,5231,2.76008411393615,7722.5476964251575,12.646674031733895,8.873873318677118,True,uncategorized
2014,4753,2.7595203029665476,7915.3989059541345,12.726428895434461,8.997768924889543,True,uncategorized
2015,4114,2.823772484200292,7900.283908604764,12.770996652892563,9.039194088478366,True,uncategorized
2016,3289,2.6400121617512924,8176.8157494679235,12.858504332623898,8.497679689875342,True,uncategorized
2017,2005,2.1905236907730674,7570.130174563591,13.029829107231919,7.033100239401496,True,uncategorized
2018,1299,3.0446497305619706,11516.584295612009,13.10887092378753,11.019957821401077,True,uncategorized
2019,907,3.2381477398015437,13282.065049614112,13.112346593164277,11.146327342888643,True,uncategorized
