year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2003,1,4.0,1683.0,12.96805948,0.0,False,adult;messageboardsandforums - 
2005,1,0.0,1151.0,15.69478849,0.0,False,adult;messageboardsandforums - 
2008,2,3.0,7172.0,13.24005465,15.102204845,False,adult;messageboardsandforums - 
2009,3,4.0,7599.0,13.647420776666666,15.397492433333333,False,adult;messageboardsandforums - 
2010,3,4.666666666666667,6470.333333333333,13.641663383333333,15.214359583333334,False,adult;messageboardsandforums - 
2011,6,1.5,5473.666666666667,12.414182918333333,10.009815403333333,False,adult;messageboardsandforums - 
2012,6,1.1666666666666667,5176.666666666667,12.635799605,10.124169301666667,False,adult;messageboardsandforums - 
2013,6,2.3333333333333335,5311.833333333333,12.481409758333333,10.124169301666667,False,adult;messageboardsandforums - 
2014,6,2.1666666666666665,5290.666666666667,12.459947551666666,10.124169301666667,False,adult;messageboardsandforums - 
2015,6,2.0,5268.0,12.438485344999998,10.124169301666667,False,adult;messageboardsandforums - 
2016,5,3.0,7647.8,12.84265512,12.443431376,False,adult;messageboardsandforums - 
2017,6,3.1666666666666665,10781.5,13.443915875,12.984273336666668,False,adult;messageboardsandforums - 
2018,6,3.3333333333333335,10705.333333333334,11.897013776666666,12.313230028333335,False,adult;messageboardsandforums - 
2019,7,2.5714285714285716,5034.285714285715,11.565605744285715,6.632329648571429,False,adult;messageboardsandforums - 
