year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2012,3,0.6666666666666666,6304.0,12.761034336666667,14.78715852,False,adult;travel - 
2013,4,0.5,5846.0,12.5980592575,14.693086374999998,False,adult;travel - 
2014,4,0.5,5846.0,12.5980592575,14.693086374999998,False,adult;travel - 
2015,4,0.5,5846.0,12.5980592575,14.693086374999998,False,adult;travel - 
2016,4,0.5,5846.0,12.5980592575,14.693086374999998,False,adult;travel - 
2017,3,0.6666666666666666,6304.0,12.761034336666667,14.78715852,False,adult;travel - 
2018,2,1.0,7220.0,13.0869845,14.97530281,False,adult;travel - 
2019,2,5.0,10957.0,12.26364939,14.76494768,False,adult;travel - 
