year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2007,156,4.493589743589744,8148.98717948718,12.376444673589747,9.35592037153846,False,adult;business;streamingmedia - adult;chatandmessaging;streamingmedia - adult;entertainment;streamingmedia - adult;informationtech;streamingmedia - adult;streamingmedia - business;chatandmessaging;streamingmedia - business;economyandfinance;streamingmedia - business;education;streamingmedia - business;education;streamingmedia;travel - business;entertainment;streamingmedia - business;informationtech;streamingmedia - business;streamingmedia - business;streamingmedia;travel - chatandmessaging;streamingmedia - contentserver;streamingmedia - education;entertainment;streamingmedia - education;informationtech;streamingmedia - education;newsandmedia;streamingmedia - education;streamingmedia - education;streamingmedia;travel - entertainment;games;streamingmedia - entertainment;illegalcontent;streamingmedia - entertainment;informationtech;streamingmedia - entertainment;mediasharing;streamingmedia - entertainment;newsandmedia;streamingmedia - entertainment;religion;streamingmedia - entertainment;shopping;streamingmedia - entertainment;sports;streamingmedia - entertainment;streamingmedia - games;streamingmedia - illegalcontent;streamingmedia - informationtech;streamingmedia - mediasharing;streamingmedia - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - personals;streamingmedia - realestate;streamingmedia - realestate;streamingmedia;travel - shopping;socialnetworking;streamingmedia - shopping;streamingmedia - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - sports;streamingmedia - streamingmedia - streamingmedia;travel - 
2008,207,4.57487922705314,8954.497584541063,12.806812208893716,9.569154959565216,False,adult;business;streamingmedia - adult;chatandmessaging;streamingmedia - adult;entertainment;streamingmedia - adult;informationtech;streamingmedia - adult;streamingmedia - business;chatandmessaging;streamingmedia - business;economyandfinance;streamingmedia - business;education;streamingmedia - business;education;streamingmedia;travel - business;entertainment;streamingmedia - business;informationtech;streamingmedia - business;streamingmedia - business;streamingmedia;travel - chatandmessaging;streamingmedia - contentserver;streamingmedia - education;entertainment;streamingmedia - education;informationtech;streamingmedia - education;newsandmedia;streamingmedia - education;streamingmedia - education;streamingmedia;travel - entertainment;games;streamingmedia - entertainment;illegalcontent;streamingmedia - entertainment;informationtech;streamingmedia - entertainment;mediasharing;streamingmedia - entertainment;newsandmedia;streamingmedia - entertainment;religion;streamingmedia - entertainment;shopping;streamingmedia - entertainment;sports;streamingmedia - entertainment;streamingmedia - games;streamingmedia - illegalcontent;streamingmedia - informationtech;streamingmedia - mediasharing;streamingmedia - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - personals;streamingmedia - realestate;streamingmedia - realestate;streamingmedia;travel - shopping;socialnetworking;streamingmedia - shopping;streamingmedia - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - sports;streamingmedia - streamingmedia - streamingmedia;travel - 
2009,257,4.373540856031128,8892.36186770428,12.88632685108171,9.478325276420236,False,adult;business;streamingmedia - adult;chatandmessaging;streamingmedia - adult;entertainment;streamingmedia - adult;informationtech;streamingmedia - adult;streamingmedia - business;chatandmessaging;streamingmedia - business;economyandfinance;streamingmedia - business;education;streamingmedia - business;education;streamingmedia;travel - business;entertainment;streamingmedia - business;informationtech;streamingmedia - business;streamingmedia - business;streamingmedia;travel - chatandmessaging;streamingmedia - contentserver;streamingmedia - education;entertainment;streamingmedia - education;informationtech;streamingmedia - education;newsandmedia;streamingmedia - education;streamingmedia - education;streamingmedia;travel - entertainment;games;streamingmedia - entertainment;illegalcontent;streamingmedia - entertainment;informationtech;streamingmedia - entertainment;mediasharing;streamingmedia - entertainment;newsandmedia;streamingmedia - entertainment;religion;streamingmedia - entertainment;shopping;streamingmedia - entertainment;sports;streamingmedia - entertainment;streamingmedia - games;streamingmedia - illegalcontent;streamingmedia - informationtech;streamingmedia - mediasharing;streamingmedia - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - personals;streamingmedia - realestate;streamingmedia - realestate;streamingmedia;travel - shopping;socialnetworking;streamingmedia - shopping;streamingmedia - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - sports;streamingmedia - streamingmedia - streamingmedia;travel - 
2010,370,3.889189189189189,9321.418918918918,12.835778802075676,9.420384794027028,False,adult;business;streamingmedia - adult;chatandmessaging;streamingmedia - adult;entertainment;streamingmedia - adult;informationtech;streamingmedia - adult;streamingmedia - business;chatandmessaging;streamingmedia - business;economyandfinance;streamingmedia - business;education;streamingmedia - business;education;streamingmedia;travel - business;entertainment;streamingmedia - business;informationtech;streamingmedia - business;streamingmedia - business;streamingmedia;travel - chatandmessaging;streamingmedia - contentserver;streamingmedia - education;entertainment;streamingmedia - education;informationtech;streamingmedia - education;newsandmedia;streamingmedia - education;streamingmedia - education;streamingmedia;travel - entertainment;games;streamingmedia - entertainment;illegalcontent;streamingmedia - entertainment;informationtech;streamingmedia - entertainment;mediasharing;streamingmedia - entertainment;newsandmedia;streamingmedia - entertainment;religion;streamingmedia - entertainment;shopping;streamingmedia - entertainment;sports;streamingmedia - entertainment;streamingmedia - games;streamingmedia - illegalcontent;streamingmedia - informationtech;streamingmedia - mediasharing;streamingmedia - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - personals;streamingmedia - realestate;streamingmedia - realestate;streamingmedia;travel - shopping;socialnetworking;streamingmedia - shopping;streamingmedia - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - sports;streamingmedia - streamingmedia - streamingmedia;travel - 
2011,472,3.635593220338983,8368.072033898305,12.762309047436442,9.262123008622881,False,adult;business;streamingmedia - adult;chatandmessaging;streamingmedia - adult;entertainment;streamingmedia - adult;informationtech;streamingmedia - adult;streamingmedia - business;chatandmessaging;streamingmedia - business;economyandfinance;streamingmedia - business;education;streamingmedia - business;education;streamingmedia;travel - business;entertainment;streamingmedia - business;informationtech;streamingmedia - business;streamingmedia - business;streamingmedia;travel - chatandmessaging;streamingmedia - contentserver;streamingmedia - education;entertainment;streamingmedia - education;informationtech;streamingmedia - education;newsandmedia;streamingmedia - education;streamingmedia - education;streamingmedia;travel - entertainment;games;streamingmedia - entertainment;illegalcontent;streamingmedia - entertainment;informationtech;streamingmedia - entertainment;mediasharing;streamingmedia - entertainment;newsandmedia;streamingmedia - entertainment;religion;streamingmedia - entertainment;shopping;streamingmedia - entertainment;sports;streamingmedia - entertainment;streamingmedia - games;streamingmedia - illegalcontent;streamingmedia - informationtech;streamingmedia - mediasharing;streamingmedia - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - personals;streamingmedia - realestate;streamingmedia - realestate;streamingmedia;travel - shopping;socialnetworking;streamingmedia - shopping;streamingmedia - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - sports;streamingmedia - streamingmedia - streamingmedia;travel - 
2012,600,3.4516666666666667,7907.071666666667,12.77465888525,8.611387926416667,False,adult;business;streamingmedia - adult;chatandmessaging;streamingmedia - adult;entertainment;streamingmedia - adult;informationtech;streamingmedia - adult;streamingmedia - business;chatandmessaging;streamingmedia - business;economyandfinance;streamingmedia - business;education;streamingmedia - business;education;streamingmedia;travel - business;entertainment;streamingmedia - business;informationtech;streamingmedia - business;streamingmedia - business;streamingmedia;travel - chatandmessaging;streamingmedia - contentserver;streamingmedia - education;entertainment;streamingmedia - education;informationtech;streamingmedia - education;newsandmedia;streamingmedia - education;streamingmedia - education;streamingmedia;travel - entertainment;games;streamingmedia - entertainment;illegalcontent;streamingmedia - entertainment;informationtech;streamingmedia - entertainment;mediasharing;streamingmedia - entertainment;newsandmedia;streamingmedia - entertainment;religion;streamingmedia - entertainment;shopping;streamingmedia - entertainment;sports;streamingmedia - entertainment;streamingmedia - games;streamingmedia - illegalcontent;streamingmedia - informationtech;streamingmedia - mediasharing;streamingmedia - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - personals;streamingmedia - realestate;streamingmedia - realestate;streamingmedia;travel - shopping;socialnetworking;streamingmedia - shopping;streamingmedia - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - sports;streamingmedia - streamingmedia - streamingmedia;travel - 
2013,717,3.758716875871688,8409.07531380753,12.83508306753138,9.093135964630404,False,adult;business;streamingmedia - adult;chatandmessaging;streamingmedia - adult;entertainment;streamingmedia - adult;informationtech;streamingmedia - adult;streamingmedia - business;chatandmessaging;streamingmedia - business;economyandfinance;streamingmedia - business;education;streamingmedia - business;education;streamingmedia;travel - business;entertainment;streamingmedia - business;informationtech;streamingmedia - business;streamingmedia - business;streamingmedia;travel - chatandmessaging;streamingmedia - contentserver;streamingmedia - education;entertainment;streamingmedia - education;informationtech;streamingmedia - education;newsandmedia;streamingmedia - education;streamingmedia - education;streamingmedia;travel - entertainment;games;streamingmedia - entertainment;illegalcontent;streamingmedia - entertainment;informationtech;streamingmedia - entertainment;mediasharing;streamingmedia - entertainment;newsandmedia;streamingmedia - entertainment;religion;streamingmedia - entertainment;shopping;streamingmedia - entertainment;sports;streamingmedia - entertainment;streamingmedia - games;streamingmedia - illegalcontent;streamingmedia - informationtech;streamingmedia - mediasharing;streamingmedia - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - personals;streamingmedia - realestate;streamingmedia - realestate;streamingmedia;travel - shopping;socialnetworking;streamingmedia - shopping;streamingmedia - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - sports;streamingmedia - streamingmedia - streamingmedia;travel - 
2014,772,3.709844559585492,9110.492227979275,13.04152853623057,9.419107298484457,False,adult;business;streamingmedia - adult;chatandmessaging;streamingmedia - adult;entertainment;streamingmedia - adult;informationtech;streamingmedia - adult;streamingmedia - business;chatandmessaging;streamingmedia - business;economyandfinance;streamingmedia - business;education;streamingmedia - business;education;streamingmedia;travel - business;entertainment;streamingmedia - business;informationtech;streamingmedia - business;streamingmedia - business;streamingmedia;travel - chatandmessaging;streamingmedia - contentserver;streamingmedia - education;entertainment;streamingmedia - education;informationtech;streamingmedia - education;newsandmedia;streamingmedia - education;streamingmedia - education;streamingmedia;travel - entertainment;games;streamingmedia - entertainment;illegalcontent;streamingmedia - entertainment;informationtech;streamingmedia - entertainment;mediasharing;streamingmedia - entertainment;newsandmedia;streamingmedia - entertainment;religion;streamingmedia - entertainment;shopping;streamingmedia - entertainment;sports;streamingmedia - entertainment;streamingmedia - games;streamingmedia - illegalcontent;streamingmedia - informationtech;streamingmedia - mediasharing;streamingmedia - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - personals;streamingmedia - realestate;streamingmedia - realestate;streamingmedia;travel - shopping;socialnetworking;streamingmedia - shopping;streamingmedia - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - sports;streamingmedia - streamingmedia - streamingmedia;travel - 
2015,858,3.625874125874126,9141.446386946387,13.120253346923077,9.22360562506993,False,adult;business;streamingmedia - adult;chatandmessaging;streamingmedia - adult;entertainment;streamingmedia - adult;informationtech;streamingmedia - adult;streamingmedia - business;chatandmessaging;streamingmedia - business;economyandfinance;streamingmedia - business;education;streamingmedia - business;education;streamingmedia;travel - business;entertainment;streamingmedia - business;informationtech;streamingmedia - business;streamingmedia - business;streamingmedia;travel - chatandmessaging;streamingmedia - contentserver;streamingmedia - education;entertainment;streamingmedia - education;informationtech;streamingmedia - education;newsandmedia;streamingmedia - education;streamingmedia - education;streamingmedia;travel - entertainment;games;streamingmedia - entertainment;illegalcontent;streamingmedia - entertainment;informationtech;streamingmedia - entertainment;mediasharing;streamingmedia - entertainment;newsandmedia;streamingmedia - entertainment;religion;streamingmedia - entertainment;shopping;streamingmedia - entertainment;sports;streamingmedia - entertainment;streamingmedia - games;streamingmedia - illegalcontent;streamingmedia - informationtech;streamingmedia - mediasharing;streamingmedia - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - personals;streamingmedia - realestate;streamingmedia - realestate;streamingmedia;travel - shopping;socialnetworking;streamingmedia - shopping;streamingmedia - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - sports;streamingmedia - streamingmedia - streamingmedia;travel - 
2016,943,3.4135737009544007,9184.089077412513,13.019298003181339,8.934784348833512,False,adult;business;streamingmedia - adult;chatandmessaging;streamingmedia - adult;entertainment;streamingmedia - adult;informationtech;streamingmedia - adult;streamingmedia - business;chatandmessaging;streamingmedia - business;economyandfinance;streamingmedia - business;education;streamingmedia - business;education;streamingmedia;travel - business;entertainment;streamingmedia - business;informationtech;streamingmedia - business;streamingmedia - business;streamingmedia;travel - chatandmessaging;streamingmedia - contentserver;streamingmedia - education;entertainment;streamingmedia - education;informationtech;streamingmedia - education;newsandmedia;streamingmedia - education;streamingmedia - education;streamingmedia;travel - entertainment;games;streamingmedia - entertainment;illegalcontent;streamingmedia - entertainment;informationtech;streamingmedia - entertainment;mediasharing;streamingmedia - entertainment;newsandmedia;streamingmedia - entertainment;religion;streamingmedia - entertainment;shopping;streamingmedia - entertainment;sports;streamingmedia - entertainment;streamingmedia - games;streamingmedia - illegalcontent;streamingmedia - informationtech;streamingmedia - mediasharing;streamingmedia - newsandmedia;sports;streamingmedia - newsandmedia;streamingmedia - personals;streamingmedia - realestate;streamingmedia - realestate;streamingmedia;travel - shopping;socialnetworking;streamingmedia - shopping;streamingmedia - socialnetworking;streamingmedia - socialnetworking;streamingmedia;travel - sports;streamingmedia - streamingmedia - streamingmedia;travel - 
