year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2013,2,7.0,5800.0,13.218117115,15.157562785,False,business;economyandfinance;gambling - economyandfinance;gambling - 
2014,2,7.0,5800.0,13.218117115,15.157562785,False,business;economyandfinance;gambling - economyandfinance;gambling - 
2015,2,7.0,6720.0,13.73425308,15.381575750000001,False,business;economyandfinance;gambling - economyandfinance;gambling - 
2016,2,7.0,6844.0,13.480698635,15.292465655,False,business;economyandfinance;gambling - economyandfinance;gambling - 
2017,1,7.0,5915.0,13.03567469,15.20269789,False,business;economyandfinance;gambling - economyandfinance;gambling - 
2018,1,0.0,10838.0,15.31224762,18.20757608,False,business;economyandfinance;gambling - economyandfinance;gambling - 
2019,1,0.0,10838.0,15.31224762,18.20757608,False,business;economyandfinance;gambling - economyandfinance;gambling - 
