year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2001,4,2.25,4713.25,10.03542646,6.25805,False,alcoholandtobacco;shopping - 
2002,7,1.7142857142857142,4063.5714285714284,10.424236744285713,5.675532797142857,False,alcoholandtobacco;shopping - 
2003,10,1.2,3366.6,10.12754789,3.972872958,False,alcoholandtobacco;shopping - 
2004,14,1.0714285714285714,5239.214285714285,10.712698728571427,4.976003261428572,False,alcoholandtobacco;shopping - 
2005,16,1.5,4584.8125,10.169542762499999,5.015641928125,False,alcoholandtobacco;shopping - 
2006,23,1.7826086956521738,4285.217391304348,9.753141347826086,5.325895947826086,False,alcoholandtobacco;shopping - 
2007,29,1.5517241379310345,4738.758620689655,10.528057379310345,6.1330152931034485,False,alcoholandtobacco;shopping - 
2008,30,1.9333333333333333,5428.0,10.994444609999999,7.33623308,False,alcoholandtobacco;shopping - 
2009,31,2.5161290322580645,6173.0,11.569612290322581,8.432018480645162,False,alcoholandtobacco;shopping - 
2010,36,1.2777777777777777,5811.361111111111,10.896269638888889,7.190091250000001,False,alcoholandtobacco;shopping - 
2011,44,1.4545454545454546,5610.477272727273,10.523218647727273,7.576392027272728,False,alcoholandtobacco;shopping - 
2012,58,1.6551724137931034,6486.810344827586,11.338957324137931,9.206651855172414,False,alcoholandtobacco;shopping - 
2013,53,1.509433962264151,7318.509433962264,11.431825377358491,10.499870743396226,False,alcoholandtobacco;shopping - 
2014,54,1.0555555555555556,7421.351851851852,11.8805625,10.063605003703705,False,alcoholandtobacco;shopping - 
2015,75,1.5333333333333334,7893.133333333333,11.862351994666666,11.302337257333333,False,alcoholandtobacco;shopping - 
2016,67,2.014925373134328,8233.358208955224,12.514718113432835,11.332909929850747,False,alcoholandtobacco;shopping - 
2017,56,2.517857142857143,9207.875,12.692750419642858,11.653127114285713,False,alcoholandtobacco;shopping - 
2018,41,3.048780487804878,11720.560975609756,12.799613502439026,12.288504358536585,False,alcoholandtobacco;shopping - 
2019,50,2.64,14159.5,12.973462605999998,12.012196692,False,alcoholandtobacco;shopping - 
