year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,4,0.5,2152.0,13.062032290000001,0.0,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
1999,8,1.0,2795.5,12.030270994999999,1.96646461875,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2000,38,3.6315789473684212,4221.973684210527,11.093675219473685,4.545777139736843,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2001,59,2.3389830508474576,4827.3050847457625,11.794896598305085,6.714777494915254,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2002,94,2.9361702127659575,5431.45744680851,12.002944003617023,7.537450998936171,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2003,113,2.9469026548672566,5461.831858407079,11.864282787787609,6.989612784070795,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2004,139,3.4388489208633093,5589.482014388489,11.919804178992806,7.716096658273382,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2005,161,3.9751552795031055,5791.298136645963,11.744702898447207,7.283612953416149,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2006,225,3.537777777777778,5946.92,11.83942699888889,7.511612391111111,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2007,271,3.1365313653136533,5804.084870848708,11.971296463653136,7.578261781918818,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2008,351,3.0826210826210825,6162.780626780626,12.046830873418806,8.002322054159544,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2009,353,3.5637393767705383,6396.963172804532,12.015021527337113,8.28399371609065,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2010,460,3.008695652173913,6348.55652173913,12.067357232391306,8.152391012782607,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2011,612,2.8415032679738563,6827.59477124183,12.170142360931372,8.634996592320263,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2012,724,3.334254143646409,7234.834254143647,12.257434070372927,8.819557342279003,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2013,794,3.36272040302267,7734.238035264483,12.300136088803525,9.144765827506296,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2014,889,3.746906636670416,8356.13048368954,12.374278701316085,9.624083294533182,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2015,964,3.9076763485477177,8787.23755186722,12.46759425822614,10.174560609958506,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2016,995,3.8,8874.402010050251,12.38823893803015,10.065594381376885,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2017,887,4.058624577226607,9432.229988726043,12.473489322356258,10.32064838826381,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2018,621,5.238325281803543,11538.69082125604,12.60442438974235,11.28996719642512,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
2019,683,6.270863836017569,13501.367496339677,12.609629470907759,11.845305073235727,False,alcoholandtobacco;education;shopping - business;education;shopping - drugs;education;shopping - economyandfinance;education;shopping - education;shopping - education;shopping;sports - education;shopping;travel - education;shopping;vehicles - education;shopping;weapons - 
