year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2009,1,0.0,8882.0,13.63782407,15.33710201,False,business;proxyandfilteravoidance - 
2010,1,0.0,2214.0,11.11493056,0.0,False,business;proxyandfilteravoidance - 
2011,2,0.0,2214.0,11.114930555,0.0,False,business;proxyandfilteravoidance - 
2012,4,0.0,4305.25,11.503069395,3.8785097,False,business;proxyandfilteravoidance - 
2013,3,0.0,4892.333333333333,12.01012542,5.171346266666666,False,business;proxyandfilteravoidance - 
2014,4,0.0,6231.5,12.4577228525,7.7570193975,False,business;proxyandfilteravoidance - 
2015,6,0.0,8134.0,12.333638883333334,10.268834816666667,False,business;proxyandfilteravoidance - 
2016,6,0.0,7573.5,11.73601955,7.324453826666667,False,business;proxyandfilteravoidance - 
2017,4,0.0,7471.5,11.627832955,7.38341274,False,business;proxyandfilteravoidance - 
2018,5,0.8,10027.4,12.366528768,9.161769296,False,business;proxyandfilteravoidance - 
2019,1,0.0,2214.0,11.11493056,0.0,False,business;proxyandfilteravoidance - 
