year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
1998,2,0.0,2657.0,13.58425532,0.0,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
1999,1,0.0,4046.0,10.977687800000002,12.91330727,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2000,6,0.6666666666666666,3218.8333333333335,11.764094743333333,4.48475774,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2001,4,3.25,2789.75,12.5357631075,3.363568305,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2002,11,2.727272727272727,2699.3636363636365,12.443210363636364,2.417043434545455,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2003,23,3.0434782608695654,4356.826086956522,11.208078482608697,7.313907147826087,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2004,52,3.2884615384615383,5564.961538461538,10.792356250384614,8.456167679807693,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2005,72,2.5416666666666665,5773.236111111111,11.715949599861112,8.698428552916669,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2006,96,2.875,5420.0625,11.813039000937499,8.718872109791667,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2007,129,2.62015503875969,5101.224806201551,11.018887576666668,8.085994071162792,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2008,174,2.5057471264367814,5491.114942528736,11.262340816149427,8.280482793275864,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2009,175,2.1085714285714285,5824.4628571428575,11.582282210971432,7.925275575371427,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2010,257,1.7976653696498055,5747.365758754864,12.287443908560311,7.78734082377432,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2011,333,1.993993993993994,6088.294294294295,12.545652268738738,8.131931078318319,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2012,412,2.1407766990291264,6107.902912621359,11.887757755825243,7.787123602451456,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2013,479,2.1315240083507305,6273.19624217119,12.00276627789144,7.897569135699374,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
2014,531,2.286252354048964,6226.696798493409,12.471234687853107,8.217479128210924,False,adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - 
