year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2009,359,1.7158774373259054,7275.637883008357,12.60550216340947,9.209188511225626,False,business;education;vehicles - business;entertainment;vehicles - business;messageboardsandforums;vehicles - business;newsandmedia;vehicles - business;realestate;vehicles - business;shopping;vehicles - business;vehicles - education;shopping;vehicles - education;travel;vehicles - education;vehicles - entertainment;newsandmedia;vehicles - entertainment;shopping;vehicles - entertainment;socialnetworking;vehicles - entertainment;vehicles - games;sports;vehicles - messageboardsandforums;shopping;vehicles - newsandmedia;vehicles - shopping;travel;vehicles - shopping;vehicles - socialnetworking;vehicles - sports;vehicles - travel;vehicles - vehicles - 
2010,472,1.6059322033898304,7180.563559322034,12.368569598440676,8.634148290275425,False,business;education;vehicles - business;entertainment;vehicles - business;messageboardsandforums;vehicles - business;newsandmedia;vehicles - business;realestate;vehicles - business;shopping;vehicles - business;vehicles - education;shopping;vehicles - education;travel;vehicles - education;vehicles - entertainment;newsandmedia;vehicles - entertainment;shopping;vehicles - entertainment;socialnetworking;vehicles - entertainment;vehicles - games;sports;vehicles - messageboardsandforums;shopping;vehicles - newsandmedia;vehicles - shopping;travel;vehicles - shopping;vehicles - socialnetworking;vehicles - sports;vehicles - travel;vehicles - vehicles - 
2011,565,1.6283185840707965,7395.086725663717,12.334328403256636,8.96171451339823,False,business;education;vehicles - business;entertainment;vehicles - business;messageboardsandforums;vehicles - business;newsandmedia;vehicles - business;realestate;vehicles - business;shopping;vehicles - business;vehicles - education;shopping;vehicles - education;travel;vehicles - education;vehicles - entertainment;newsandmedia;vehicles - entertainment;shopping;vehicles - entertainment;socialnetworking;vehicles - entertainment;vehicles - games;sports;vehicles - messageboardsandforums;shopping;vehicles - newsandmedia;vehicles - shopping;travel;vehicles - shopping;vehicles - socialnetworking;vehicles - sports;vehicles - travel;vehicles - vehicles - 
2012,708,1.939265536723164,8228.00141242938,12.332461183658188,9.077808440310735,False,business;education;vehicles - business;entertainment;vehicles - business;messageboardsandforums;vehicles - business;newsandmedia;vehicles - business;realestate;vehicles - business;shopping;vehicles - business;vehicles - education;shopping;vehicles - education;travel;vehicles - education;vehicles - entertainment;newsandmedia;vehicles - entertainment;shopping;vehicles - entertainment;socialnetworking;vehicles - entertainment;vehicles - games;sports;vehicles - messageboardsandforums;shopping;vehicles - newsandmedia;vehicles - shopping;travel;vehicles - shopping;vehicles - socialnetworking;vehicles - sports;vehicles - travel;vehicles - vehicles - 
2013,792,2.053030303030303,8359.027777777777,12.396835591540404,8.97943579512626,False,business;education;vehicles - business;entertainment;vehicles - business;messageboardsandforums;vehicles - business;newsandmedia;vehicles - business;realestate;vehicles - business;shopping;vehicles - business;vehicles - education;shopping;vehicles - education;travel;vehicles - education;vehicles - entertainment;newsandmedia;vehicles - entertainment;shopping;vehicles - entertainment;socialnetworking;vehicles - entertainment;vehicles - games;sports;vehicles - messageboardsandforums;shopping;vehicles - newsandmedia;vehicles - shopping;travel;vehicles - shopping;vehicles - socialnetworking;vehicles - sports;vehicles - travel;vehicles - vehicles - 
2014,841,2.0249702734839476,9061.702734839477,12.759852333151011,9.208217571117716,False,business;education;vehicles - business;entertainment;vehicles - business;messageboardsandforums;vehicles - business;newsandmedia;vehicles - business;realestate;vehicles - business;shopping;vehicles - business;vehicles - education;shopping;vehicles - education;travel;vehicles - education;vehicles - entertainment;newsandmedia;vehicles - entertainment;shopping;vehicles - entertainment;socialnetworking;vehicles - entertainment;vehicles - games;sports;vehicles - messageboardsandforums;shopping;vehicles - newsandmedia;vehicles - shopping;travel;vehicles - shopping;vehicles - socialnetworking;vehicles - sports;vehicles - travel;vehicles - vehicles - 
2015,937,2.247598719316969,9813.785485592316,12.63938815835646,9.57492222085379,False,business;education;vehicles - business;entertainment;vehicles - business;messageboardsandforums;vehicles - business;newsandmedia;vehicles - business;realestate;vehicles - business;shopping;vehicles - business;vehicles - education;shopping;vehicles - education;travel;vehicles - education;vehicles - entertainment;newsandmedia;vehicles - entertainment;shopping;vehicles - entertainment;socialnetworking;vehicles - entertainment;vehicles - games;sports;vehicles - messageboardsandforums;shopping;vehicles - newsandmedia;vehicles - shopping;travel;vehicles - shopping;vehicles - socialnetworking;vehicles - sports;vehicles - travel;vehicles - vehicles - 
2016,963,2.3250259605399792,9540.19833852544,12.699207846860851,9.259644476469365,False,business;education;vehicles - business;entertainment;vehicles - business;messageboardsandforums;vehicles - business;newsandmedia;vehicles - business;realestate;vehicles - business;shopping;vehicles - business;vehicles - education;shopping;vehicles - education;travel;vehicles - education;vehicles - entertainment;newsandmedia;vehicles - entertainment;shopping;vehicles - entertainment;socialnetworking;vehicles - entertainment;vehicles - games;sports;vehicles - messageboardsandforums;shopping;vehicles - newsandmedia;vehicles - shopping;travel;vehicles - shopping;vehicles - socialnetworking;vehicles - sports;vehicles - travel;vehicles - vehicles - 
2017,857,2.6581096849474912,10386.096849474912,12.843331370408404,9.67644040623104,False,business;education;vehicles - business;entertainment;vehicles - business;messageboardsandforums;vehicles - business;newsandmedia;vehicles - business;realestate;vehicles - business;shopping;vehicles - business;vehicles - education;shopping;vehicles - education;travel;vehicles - education;vehicles - entertainment;newsandmedia;vehicles - entertainment;shopping;vehicles - entertainment;socialnetworking;vehicles - entertainment;vehicles - games;sports;vehicles - messageboardsandforums;shopping;vehicles - newsandmedia;vehicles - shopping;travel;vehicles - shopping;vehicles - socialnetworking;vehicles - sports;vehicles - travel;vehicles - vehicles - 
2018,643,3.49144634525661,13886.295489891136,12.962864605104198,10.856188187200623,False,business;education;vehicles - business;entertainment;vehicles - business;messageboardsandforums;vehicles - business;newsandmedia;vehicles - business;realestate;vehicles - business;shopping;vehicles - business;vehicles - education;shopping;vehicles - education;travel;vehicles - education;vehicles - entertainment;newsandmedia;vehicles - entertainment;shopping;vehicles - entertainment;socialnetworking;vehicles - entertainment;vehicles - games;sports;vehicles - messageboardsandforums;shopping;vehicles - newsandmedia;vehicles - shopping;travel;vehicles - shopping;vehicles - socialnetworking;vehicles - sports;vehicles - travel;vehicles - vehicles - 
2019,654,4.099388379204893,16963.152905198778,13.249938176012233,12.096086001391438,False,business;education;vehicles - business;entertainment;vehicles - business;messageboardsandforums;vehicles - business;newsandmedia;vehicles - business;realestate;vehicles - business;shopping;vehicles - business;vehicles - education;shopping;vehicles - education;travel;vehicles - education;vehicles - entertainment;newsandmedia;vehicles - entertainment;shopping;vehicles - entertainment;socialnetworking;vehicles - entertainment;vehicles - games;sports;vehicles - messageboardsandforums;shopping;vehicles - newsandmedia;vehicles - shopping;travel;vehicles - shopping;vehicles - socialnetworking;vehicles - sports;vehicles - travel;vehicles - vehicles - 
