year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2008,1052,1.9458174904942966,5691.3688212927755,11.806529221872625,7.952210776112169,False,adult - adult;advertising;business - adult;blogsandpersonal - adult;blogsandpersonal;entertainment - adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - adult;education - adult;education;messageboardsandforums - adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - adult;games - adult;illegalcontent - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - adult;mediasharing - adult;mediasharing;socialnetworking - adult;messageboardsandforums - adult;newsandmedia - adult;personals - adult;personals;socialnetworking - adult;shopping - adult;socialnetworking - adult;socialnetworking;sports - adult;sports - adult;streamingmedia - adult;travel - adult;virtualreality - 
2009,1063,1.9689557855127,5724.489181561618,12.12790012210724,7.763209375672624,False,adult - adult;advertising;business - adult;blogsandpersonal - adult;blogsandpersonal;entertainment - adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - adult;education - adult;education;messageboardsandforums - adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - adult;games - adult;illegalcontent - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - adult;mediasharing - adult;mediasharing;socialnetworking - adult;messageboardsandforums - adult;newsandmedia - adult;personals - adult;personals;socialnetworking - adult;shopping - adult;socialnetworking - adult;socialnetworking;sports - adult;sports - adult;streamingmedia - adult;travel - adult;virtualreality - 
2010,1534,2.0019556714471967,6246.0091264667535,12.73492476126467,8.161530758689699,False,adult - adult;advertising;business - adult;blogsandpersonal - adult;blogsandpersonal;entertainment - adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - adult;education - adult;education;messageboardsandforums - adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - adult;games - adult;illegalcontent - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - adult;mediasharing - adult;mediasharing;socialnetworking - adult;messageboardsandforums - adult;newsandmedia - adult;personals - adult;personals;socialnetworking - adult;shopping - adult;socialnetworking - adult;socialnetworking;sports - adult;sports - adult;streamingmedia - adult;travel - adult;virtualreality - 
2011,1987,1.9949672873678912,6618.315551082033,12.827704867151486,9.535170511635632,False,adult - adult;advertising;business - adult;blogsandpersonal - adult;blogsandpersonal;entertainment - adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - adult;education - adult;education;messageboardsandforums - adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - adult;games - adult;illegalcontent - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - adult;mediasharing - adult;mediasharing;socialnetworking - adult;messageboardsandforums - adult;newsandmedia - adult;personals - adult;personals;socialnetworking - adult;shopping - adult;socialnetworking - adult;socialnetworking;sports - adult;sports - adult;streamingmedia - adult;travel - adult;virtualreality - 
2012,2447,1.663261136085002,6741.00081732734,11.657870748181447,8.46914763193706,False,adult - adult;advertising;business - adult;blogsandpersonal - adult;blogsandpersonal;entertainment - adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - adult;education - adult;education;messageboardsandforums - adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - adult;games - adult;illegalcontent - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - adult;mediasharing - adult;mediasharing;socialnetworking - adult;messageboardsandforums - adult;newsandmedia - adult;personals - adult;personals;socialnetworking - adult;shopping - adult;socialnetworking - adult;socialnetworking;sports - adult;sports - adult;streamingmedia - adult;travel - adult;virtualreality - 
2013,2885,2.015944540727903,6957.75389948007,12.028538693417675,8.934202944537262,False,adult - adult;advertising;business - adult;blogsandpersonal - adult;blogsandpersonal;entertainment - adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - adult;education - adult;education;messageboardsandforums - adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - adult;games - adult;illegalcontent - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - adult;mediasharing - adult;mediasharing;socialnetworking - adult;messageboardsandforums - adult;newsandmedia - adult;personals - adult;personals;socialnetworking - adult;shopping - adult;socialnetworking - adult;socialnetworking;sports - adult;sports - adult;streamingmedia - adult;travel - adult;virtualreality - 
2014,3018,2.1043737574552686,7045.059973492379,12.239546786550694,9.35403848555335,False,adult - adult;advertising;business - adult;blogsandpersonal - adult;blogsandpersonal;entertainment - adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - adult;education - adult;education;messageboardsandforums - adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - adult;games - adult;illegalcontent - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - adult;mediasharing - adult;mediasharing;socialnetworking - adult;messageboardsandforums - adult;newsandmedia - adult;personals - adult;personals;socialnetworking - adult;shopping - adult;socialnetworking - adult;socialnetworking;sports - adult;sports - adult;streamingmedia - adult;travel - adult;virtualreality - 
2015,3286,2.2565429093122336,7294.799147900183,12.549659232370661,9.70841883562386,False,adult - adult;advertising;business - adult;blogsandpersonal - adult;blogsandpersonal;entertainment - adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - adult;education - adult;education;messageboardsandforums - adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - adult;games - adult;illegalcontent - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - adult;mediasharing - adult;mediasharing;socialnetworking - adult;messageboardsandforums - adult;newsandmedia - adult;personals - adult;personals;socialnetworking - adult;shopping - adult;socialnetworking - adult;socialnetworking;sports - adult;sports - adult;streamingmedia - adult;travel - adult;virtualreality - 
2016,3388,2.2739079102715465,8249.380460448643,12.60867194764758,9.743543646570245,False,adult - adult;advertising;business - adult;blogsandpersonal - adult;blogsandpersonal;entertainment - adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - adult;education - adult;education;messageboardsandforums - adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - adult;games - adult;illegalcontent - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - adult;mediasharing - adult;mediasharing;socialnetworking - adult;messageboardsandforums - adult;newsandmedia - adult;personals - adult;personals;socialnetworking - adult;shopping - adult;socialnetworking - adult;socialnetworking;sports - adult;sports - adult;streamingmedia - adult;travel - adult;virtualreality - 
2017,3421,2.2247880736626717,9541.431452791581,12.528863561061096,9.672211816568256,False,adult - adult;advertising;business - adult;blogsandpersonal - adult;blogsandpersonal;entertainment - adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - adult;education - adult;education;messageboardsandforums - adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - adult;games - adult;illegalcontent - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - adult;mediasharing - adult;mediasharing;socialnetworking - adult;messageboardsandforums - adult;newsandmedia - adult;personals - adult;personals;socialnetworking - adult;shopping - adult;socialnetworking - adult;socialnetworking;sports - adult;sports - adult;streamingmedia - adult;travel - adult;virtualreality - 
2018,2474,2.1713823767178657,11184.836297493937,12.894754075800321,10.556114195626513,False,adult - adult;advertising;business - adult;blogsandpersonal - adult;blogsandpersonal;entertainment - adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - adult;education - adult;education;messageboardsandforums - adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - adult;games - adult;illegalcontent - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - adult;mediasharing - adult;mediasharing;socialnetworking - adult;messageboardsandforums - adult;newsandmedia - adult;personals - adult;personals;socialnetworking - adult;shopping - adult;socialnetworking - adult;socialnetworking;sports - adult;sports - adult;streamingmedia - adult;travel - adult;virtualreality - 
2019,2468,2.197325769854133,12914.786871961101,12.869815209453003,11.316057956819291,False,adult - adult;advertising;business - adult;blogsandpersonal - adult;blogsandpersonal;entertainment - adult;business - adult;business;chatandmessaging - adult;business;education - adult;business;entertainment - adult;business;informationtech - adult;business;shopping - adult;business;streamingmedia - adult;chatandmessaging - adult;chatandmessaging;streamingmedia - adult;education - adult;education;messageboardsandforums - adult;entertainment - adult;entertainment;games - adult;entertainment;informationtech - adult;entertainment;mediasharing - adult;entertainment;messageboardsandforums - adult;entertainment;newsandmedia - adult;entertainment;shopping - adult;entertainment;sports - adult;entertainment;streamingmedia - adult;entertainment;travel - adult;games - adult;illegalcontent - adult;informationtech - adult;informationtech;newsandmedia - adult;informationtech;streamingmedia - adult;mediasharing - adult;mediasharing;socialnetworking - adult;messageboardsandforums - adult;newsandmedia - adult;personals - adult;personals;socialnetworking - adult;shopping - adult;socialnetworking - adult;socialnetworking;sports - adult;sports - adult;streamingmedia - adult;travel - adult;virtualreality - 
