year,GroupedRows,ChildCountMean,lengthMean,flesch_kincaid_Mean,smog_Mean,Exact Match?,CategoriesSearched
2012,2,2.0,4726.5,13.7600174,0.0,False,chatandmessaging;mediasharing - 
2014,1,3.0,14148.0,12.93539138,14.21634208,False,chatandmessaging;mediasharing - 
2015,1,4.0,16655.0,12.47029305,13.24136018,False,chatandmessaging;mediasharing - 
